,asw_ids,stop_platform
479,147_7,Hlubočepy G
480,147_8,Hlubočepy H
481,148_1,Holečkova A
482,148_2,Holečkova B
483,149_1,Stará Holyně A
484,149_2,Stará Holyně B
485,150_1,Weberova A
486,150_2,Weberova B
487,151_1,Horčičkova A
489,151_2,Horčičkova B
491,152_1,Horky A
492,152_2,Horky B
493,153_1,Horní cesta A
494,154_1,Boloňská A
495,154_2,Boloňská B
496,154_3,Boloňská C
497,154_4,Boloňská D
498,155_1,Na Kovárně A
500,155_2,Na Kovárně B
502,156_1,Průchova A
503,156_2,Průchova B
504,157_1,Bořislavka A
505,157_2,Bořislavka B
506,157_3,Bořislavka D
507,157_4,Bořislavka F
509,157_5,Bořislavka C
510,157_6,Bořislavka G
512,157_8,Bořislavka I
513,157_9,Bořislavka J
514,157_74,Bořislavka D
515,157_101,Bořislavka 1
516,157_102,Bořislavka 2
517,158_1,Hostavice A
518,158_2,Hostavice B
519,159_1,Benice A
520,159_2,Benice B
522,159_4,Benice D
523,160_1,Hostivařské náměstí A
524,160_2,Hostivařské náměstí B
525,161_1,Hostýnská A
526,161_2,Hostýnská B
527,162_5,Čínská E
529,162_6,Čínská F
531,163_1,Hradčanská A
532,163_2,Hradčanská B
533,163_5,Hradčanská D
534,163_6,Hradčanská C
535,163_9,Hradčanská F
536,163_10,Hradčanská L
537,163_101,Hradčanská 1
538,163_102,Hradčanská 2
539,164_2,Hrnčíře B
540,164_3,Hrnčíře C
541,164_4,Hrnčíře D
542,165_1,Hrnčířský hřbitov A
543,165_2,Hrnčířský hřbitov B
545,165_3,Hrnčířský hřbitov C
546,165_5,Hrnčířský hřbitov E
547,166_1,Toulcův dvůr A
548,166_2,Toulcův dvůr B
549,167_1,Ďáblický hřbitov A
551,167_2,Ďáblický hřbitov B
553,168_1,Hřebenka A
554,168_2,Hřebenka B
555,169_1,Hříbková A
556,169_2,Hříbková B
557,170_1,Hulická A
559,170_2,Hulická B
561,170_3,Hulická C
562,171_1,Letecké muzeum A
564,171_2,Letecké muzeum B
566,172_1,Viktoria Žižkov A
567,172_2,Viktoria Žižkov B
568,172_5,Viktoria Žižkov C
569,172_6,Viktoria Žižkov D
570,173_1,Hutě A
572,173_2,Hutě B
574,174_1,Hutmanka A
575,174_2,Hutmanka B
576,174_3,Nádraží Jinonice C
577,174_4,Nádraží Jinonice D
578,176_1,Hybšmanka A
579,176_2,Hybšmanka B
580,177_1,Výzkumný ústav vodohospodářský A
582,177_2,Výzkumný ústav vodohospodářský B
584,178_1,Sídliště Zličín A
586,178_2,Sídliště Zličín B
588,179_1,Vinořský hřbitov A
590,179_2,Vinořský hřbitov B
592,179_3,Vinořský hřbitov C
594,179_4,Vinořský hřbitov D
596,179_5,Vinořský hřbitov D
597,180_1,Chmelnice A
598,180_2,Chmelnice B
599,181_1,Chodovec A
600,181_2,Chodovec B
601,182_1,Na Petynce A
602,182_2,Na Petynce B
603,183_1,Chodovská A
604,183_2,Chodovská B
605,183_3,Chodovská C
606,183_4,Chodovská D
607,184_1,Škola Radlice A
608,184_2,Škola Radlice B
609,184_3,Škola Radlice C
610,184_4,Škola Radlice D
611,184_13,Škola Radlice C
612,184_14,Škola Radlice D
613,185_1,Točná A
614,185_2,Točná B
616,185_11,Točná A
617,186_1,Cholupický vrch A
618,186_2,Cholupický vrch B
620,187_1,Chotkovy sady A
621,187_2,Chotkovy sady B
622,188_1,Chvaly A
624,188_2,Chvaly B
626,189_1,Kavkazská A
627,189_3,Kavkazská C
628,190_1,I. P. Pavlova A
629,190_2,I. P. Pavlova B
630,190_5,I. P. Pavlova G
631,190_6,I. P. Pavlova F
632,190_9,I. P. Pavlova H
633,190_13,I. P. Pavlova M
634,190_14,I. P. Pavlova N
635,190_101,I. P. Pavlova 1
636,190_102,I. P. Pavlova 2
637,191_1,Italská A
638,191_2,Italská B
639,192_1,Poliklinika Zahradní Město A
640,192_2,Poliklinika Zahradní Město B
641,193_1,Jahodnice A
642,193_2,Jahodnice B
643,194_1,Jalodvorská A
645,194_2,Jalodvorská B
647,195_1,Přeštická A
648,195_2,Přeštická B
649,196_1,Jankovcova A
650,196_2,Jankovcova B
651,197_1,Na Radosti A
652,198_1,Korytná A
653,198_2,Korytná B
654,199_1,Jenerálka A
656,199_3,Jenerálka B
658,200_1,Jeřická A
659,200_2,Jeřická B
660,201_1,Jezerka A
661,201_2,Jezerka B
662,202_1,Bakovská A
663,202_2,Bakovská B
664,202_3,Bakovská E
665,202_5,Bakovská D
666,203_1,Jindřišská A
667,203_2,Jindřišská B
668,204_1,Drazdecká A
669,205_1,Stará Stodůlecká A
670,205_2,Stará Stodůlecká B
671,206_1,Jinonická A
672,207_1,Jiráskova čtvrť A
673,207_2,Jiráskova čtvrť B
674,207_3,Kyjský hřbitov C
675,207_4,Kyjský hřbitov D
676,208_1,Jiráskovo náměstí A
677,208_2,Jiráskovo náměstí B
678,208_3,Jiráskovo náměstí C
679,208_4,Jiráskovo náměstí D
680,209_1,Jiřího z Poděbrad A
681,209_2,Jiřího z Poděbrad B
682,209_3,Jiřího z Poděbrad C
683,209_4,Jiřího z Poděbrad D
684,209_101,Jiřího z Poděbrad 1
685,209_102,Jiřího z Poděbrad 2
686,210_1,Jižní Město A
687,210_2,Jižní Město B
688,211_1,Nad Závistí A
689,212_1,Jordánská A
691,213_1,Dukla-Juliska A
692,213_2,Dukla-Juliska B
693,214_1,K Cikánce A
695,214_2,K Cikánce B
697,215_1,K Dubečku A
699,215_2,K Dubečku B
701,216_1,K Holyni A
703,216_2,K Holyni B
705,218_1,K Letišti A
706,218_2,K Letišti B
708,218_3,K Letišti C
709,219_1,K Obecním hájovnám A
710,219_2,K Obecním hájovnám B
711,220_1,K Pitkovičkám A
712,220_2,K Pitkovičkám B
713,221_1,Karlovy lázně A
714,221_2,Karlovy lázně B
715,222_1,K Teplárně A
716,222_2,K Teplárně B
717,223_1,K Tuchoměřicům A
719,223_2,K Tuchoměřicům B
721,224_1,K Vystrkovu A
722,224_2,K Vystrkovu B
723,224_3,K Vystrkovu 3
724,225_1,K Žižkovu A
725,225_2,K Žižkovu B
726,226_1,Myšlínská A
728,226_2,Myšlínská B
729,226_3,Myšlínská C
731,227_1,Kablo A
732,227_2,Kablo B
733,227_3,Kablo C
735,227_4,Kablo D
736,228_1,Kačerov C
738,228_2,Kačerov B
739,228_3,Kačerov A
740,228_4,Kačerov D
741,228_5,Kačerov V
743,228_101,Kačerov 1
744,228_102,Kačerov 2
745,229_1,Kajetánka A
746,229_2,Kajetánka B
747,229_3,Kajetánka C
748,230_1,Kalinův mlýn A
749,230_2,Kalinův mlýn B
750,231_1,Kamenická A
751,231_2,Kamenická B
752,232_1,Kamenolom Zbraslav A
753,232_2,Kamenolom Zbraslav B
754,233_1,Kamýcká A
755,233_2,Kamýcká B
756,233_3,Kamýcká C
757,233_4,Kamýcká D
758,234_1,Karenova A
759,236_1,Slánská A
760,236_2,Slánská B
761,236_3,Slánská C
762,236_4,Slánská D
763,237_1,Karlovo náměstí A
764,237_2,Karlovo náměstí B
765,237_3,Karlovo náměstí C
766,237_4,Moráň F
767,237_5,Palackého náměstí L
768,237_6,Palackého náměstí K
769,237_7,Palackého náměstí I
770,237_8,Palackého náměstí J
771,237_9,Karlovo náměstí H
772,237_10,Karlovo náměstí G
773,237_13,Novoměstská radnice D
774,237_22,Václavská N
775,237_101,Karlovo náměstí 1
776,237_102,Karlovo náměstí 2
777,238_1,Karlštejnská A
778,238_2,Karlštejnská B
779,239_1,Kateřinky A
781,239_2,Kateřinky B
783,240_1,Kavalírka A
784,240_2,Kavalírka B
785,240_3,Kavalírka C
786,240_4,Kavalírka D
787,240_5,Kavalírka E
788,240_6,Kavalírka F
789,241_1,Kazanka A
790,241_2,Kazanka B
791,242_3,Kbelská C
792,242_4,Kbelská D
793,243_1,Kbely A
795,243_2,Kbely B
797,243_3,Kbely C
798,243_4,Kbely D
799,243_5,Kbely E
801,243_6,Kbely F
803,243_15,Kbely E
804,243_16,Kbely F
805,244_1,Ke Kaménce A
806,244_2,Ke Kaménce B
807,245_1,Branické náměstí A
808,245_2,Branické náměstí B
809,246_1,Ke Schodům A
810,247_1,Ke Smrčině A
812,247_2,Ke Smrčině B
814,248_1,Koupaliště Čakovice A
815,248_2,Koupaliště Čakovice B
816,249_1,Ke Stírce A
817,249_2,Ke Stírce B
818,251_1,Kelerka A
819,251_2,Kelerka B
820,252_1,Kesnerka A
821,253_1,Khodlova A
822,254_1,Klamovka A
823,254_2,Klamovka B
824,254_3,Klamovka C
825,254_4,Klamovka D
826,254_5,Klamovka E
827,254_6,Klamovka F
828,255_1,Klánova A
829,255_2,Klánova B
830,256_1,Klánovice A
831,256_2,Klánovice B
832,257_1,Klárův ústav A
833,257_2,Klárův ústav B
834,258_101,Lužiny 1
835,258_102,Lužiny 2
836,259_1,Klíčov A
837,259_2,Klíčov B
838,260_1,Klíčovská A
839,260_2,Klíčovská B
840,261_1,Klikovka A
841,261_2,Klikovka B
842,262_2,Korunovační B
843,262_3,Korunovační C
844,262_4,Korunovační D
845,263_1,Kloboučnická A
846,263_2,Kloboučnická B
847,263_3,Kloboučnická C
848,263_4,Kloboučnická D
849,263_5,Kloboučnická E
850,264_1,Klukovice A
851,264_2,Klukovice B
852,265_1,Brumlovka A
853,265_2,Brumlovka B
855,266_1,Kněžská luka A
856,266_2,Kněžská luka B
857,266_3,Kněžská luka C
858,266_4,Kněžská luka D
859,267_1,Služská A
860,267_2,Služská B
861,268_1,Kodaňská A
862,269_1,Koh-i-noor A
863,269_2,Koh-i-noor B
864,269_3,Koh-i-noor C
865,269_4,Koh-i-noor D
866,270_1,Kokořínská A
867,270_2,Kokořínská B
868,271_1,Koleje Jižní Město A
869,271_2,Koleje Jižní Město B
870,272_1,Divadlo pod Palmovkou A
871,273_1,Koleje Větrník A
872,274_1,Koloděje A
873,274_2,Koloděje B
875,274_72,Koloděje B
876,275_1,Kolodějská obora A
878,275_2,Kolodějská obora B
880,276_1,Kolonie A
881,276_2,Kolonie B
882,277_1,Škola Kolovraty A
883,277_2,Škola Kolovraty B
884,278_1,Zdiměřická A
886,278_2,Zdiměřická B
888,279_1,Komárovská A
889,279_2,Komárovská B
890,280_1,Komořany A
891,280_2,Komořany B
892,280_3,Komořany C
893,281_1,Stodůlky-Bavorská A
894,281_3,Stodůlky-Bavorská C
895,281_4,Stodůlky-Bavorská D
896,281_6,Stodůlky-Bavorská F
897,281_7,Stodůlky-Bavorská H
898,282_1,Konvářka A
899,283_1,Nad Džbánem A
900,283_2,Nad Džbánem B
901,284_1,Korandova A
902,284_2,Korandova B
903,285_1,Korek A
904,285_2,Korek B
905,286_1,Háje D
906,286_2,Háje C
907,286_3,Háje B
908,286_4,Háje A
909,286_5,Háje F
911,286_13,Háje B
912,286_72,Háje C
913,286_82,Háje C
914,286_101,Háje 1
915,286_102,Háje 2
916,287_3,Ďáblice C
917,287_4,Ďáblice D
918,287_5,Ďáblice E
920,287_6,Ďáblice F
922,288_1,Kostrounek A
923,288_2,Kostrounek B
924,289_1,Kotlářka A
925,289_2,Kotlářka B
926,289_3,Kotlářka C
927,289_4,Kotlářka D
928,289_5,Kotlářka E
929,289_6,Kotlářka F
