,stop_name,platform_code,asw_node_id,asw_stop_id,asw_ids
8767,"Neveklov,Dalešice",A,4927,1,4927_1
8768,"Nehvizdy,Škola",A,4929,1,4929_1
8769,Horní Bezděkov,A,4930,1,4930_1
8770,Horní Bezděkov,B,4930,2,4930_2
8771,"Libušín,Důl Kladno",A,4932,1,4932_1
8772,"Libušín,Důl Kladno",B,4932,2,4932_2
8773,"Smečno,Na Kopaninách",A,4933,1,4933_1
8774,"Smečno,Na Kopaninách",B,4933,2,4933_2
8775,"Třebovle,Miškovice",A,4934,1,4934_1
8776,"Třebovle,Miškovice",B,4934,2,4934_2
8777,Vrbčany,A,4935,1,4935_1
8778,"Plaňany,Škola",A,4936,1,4936_1
8779,"Třebovle,Dolní",A,4938,1,4938_1
8780,"Třebovle,Dolní",B,4938,2,4938_2
8781,Klášterní Skalice,A,4939,1,4939_1
8782,Klášterní Skalice,B,4939,2,4939_2
8783,"Lišany,rozvodna",A,4940,1,4940_1
8784,"Lišany,rozvodna",B,4940,2,4940_2
8785,"Zbečno,Újezd nad Zbečnem",A,4941,1,4941_1
8786,"Zbečno,Újezd nad Zbečnem",B,4941,2,4941_2
8787,Žabonosy,A,4942,1,4942_1
8788,Žabonosy,B,4942,2,4942_2
8789,"Křečhoř,Kamhajek",A,4943,1,4943_1
8790,"Křečhoř,Kamhajek",B,4943,2,4943_2
8791,"Plaňany,Blinka",B,4944,2,4944_2
8792,"Plaňany,Hradenín",A,4945,1,4945_1
8793,"Plaňany,Hradenín",B,4945,2,4945_2
8794,"Plaňany,Poboří",A,4946,1,4946_1
8795,"Plaňany,Poboří",B,4946,2,4946_2
8796,"Plaňany,Poboří",C,4946,3,4946_3
8797,Břežany I,A,4947,1,4947_1
8798,Břežany I,B,4947,2,4947_2
8799,"Břežany I,Chocenice",A,4948,1,4948_1
8800,"Břežany I,Chocenice",B,4948,2,4948_2
8801,Lhota,A,4949,1,4949_1
8802,Lhota,B,4949,2,4949_2
8803,"Křečhoř,Bříství",A,4950,1,4950_1
8804,"Křečhoř,Bříství",B,4950,2,4950_2
8805,Křečhoř,A,4951,1,4951_1
8806,Křečhoř,B,4951,2,4951_2
8807,"Křečhoř,Kutlíře",A,4952,1,4952_1
8808,"Křečhoř,Kutlíře",B,4952,2,4952_2
8809,"Hřebeč,základní škola",A,4953,1,4953_1
8810,"Beroun,Vítězslava Hálka I",A,4955,1,4955_1
8811,"Beroun,Vítězslava Hálka I",B,4955,2,4955_2
8812,"Beroun,Brdatka",A,4956,1,4956_1
8813,"Beroun,Brdatka",B,4956,2,4956_2
8814,"Beroun,V Lužánkách",A,4957,1,4957_1
8815,"Beroun,V Lužánkách",B,4957,2,4957_2
8816,"Beroun,Zdejcina",A,4958,1,4958_1
8817,"Beroun,Zdejcina",B,4958,2,4958_2
8818,"Beroun,Vítězslava Hálka II",A,4959,1,4959_1
8819,"Beroun,Vítězslava Hálka II",B,4959,2,4959_2
8820,"Beroun,u hřbitova",A,4960,1,4960_1
8821,"Beroun,u hřbitova",B,4960,2,4960_2
8822,"Beroun,Pod Hřbitovem",3,4960,3,4960_3
8823,"Beroun,Pod Hřbitovem",4,4960,4,4960_4
8824,"Beroun,Bezručova",A,4961,1,4961_1
8825,"Beroun,Bezručova",B,4961,2,4961_2
8826,"Beroun,U Zelených",A,4962,1,4962_1
8827,"Beroun,U Zelených",B,4962,2,4962_2
8828,"Beroun,Jungmannova",A,4963,1,4963_1
8829,"Beroun,Jungmannova",B,4963,2,4963_2
8830,"Beroun,Hlinky",A,4964,1,4964_1
8831,"Beroun,Hlinky",B,4964,2,4964_2
8832,"Beroun,Lidl",A,4965,1,4965_1
8833,"Beroun,Lidl",B,4965,2,4965_2
8834,"Beroun,Zavadilka",A,4966,1,4966_1
8835,"Beroun,Zavadilka",B,4966,2,4966_2
8836,"Beroun,Jarov,odb.",A,4967,1,4967_1
8837,"Beroun,Jarov,odb.",B,4967,2,4967_2
8838,"Beroun,Jarov,odb.",3,4967,3,4967_3
8839,"Beroun,Jarov,odb.",4,4967,4,4967_4
8840,"Beroun,Jarov,náves",A,4968,1,4968_1
8841,"Beroun,Na Ratince",A,4969,1,4969_1
8842,"Beroun,Na Ratince",B,4969,2,4969_2
8843,"Beroun,Na Parkáně",A,4970,1,4970_1
8844,"Beroun,Delvita",A,4971,1,4971_1
8845,"Beroun,Delvita",B,4971,2,4971_2
8846,"Beroun,Preislerova",5,4971,5,4971_5
8847,"Králův Dvůr,Na knížecí",A,4972,1,4972_1
8848,"Králův Dvůr,Na knížecí",B,4972,2,4972_2
8849,"Králův Dvůr,Jungmannova",C,4972,3,4972_3
8850,"Králův Dvůr,Jungmannova",D,4972,4,4972_4
8851,"Králův Dvůr,škola",A,4973,1,4973_1
8852,"Králův Dvůr,Zahořany",A,4974,1,4974_1
8853,"Králův Dvůr,Zahořany",B,4974,2,4974_2
8854,"Králův Dvůr,Nám. Míru - poliklinika",A,4975,1,4975_1
8855,"Králův Dvůr,U Tří zvonků",A,4976,1,4976_1
8856,"Králův Dvůr,U Tří zvonků",B,4976,2,4976_2
8857,"Králův Dvůr,Počaply,škola",A,4977,1,4977_1
8858,"Králův Dvůr,Počaply,škola",B,4977,2,4977_2
8859,"Králův Dvůr,Počaply",A,4978,1,4978_1
8860,"Králův Dvůr,Počaply",B,4978,2,4978_2
8861,"Králův Dvůr,Počaply,Plzeňská",A,4979,1,4979_1
8862,"Králův Dvůr,Počaply,Plzeňská",B,4979,2,4979_2
8863,"Kolín,Lučební",A,4980,1,4980_1
8864,"Kolín,Lučební",B,4980,2,4980_2
8865,Svojšice,C,4981,3,4981_3
8866,Svojšice,D,4981,4,4981_4
8867,"Svojšice,Bošice,Rozc.",A,4982,1,4982_1
8868,"Svojšice,Bošice,Rozc.",B,4982,2,4982_2
8869,"Svojšice,Bošice",A,4983,1,4983_1
8870,"Svojšice,Bošice",2,4983,2,4983_2
8871,"Svojšice,Karlov",A,4984,1,4984_1
8872,"Svojšice,Karlov",B,4984,2,4984_2
8873,Bdín,A,4985,1,4985_1
8874,Bdín,B,4985,2,4985_2
8875,"Toušice,Mlékovice",A,4986,1,4986_1
8876,"Toušice,Mlékovice",B,4986,2,4986_2
8877,"Dolní Chvatliny,Horní Chvatliny",A,4987,1,4987_1
8878,"Dolní Chvatliny,Horní Chvatliny",B,4987,2,4987_2
8879,Dolní Chvatliny,A,4988,1,4988_1
8880,Dolní Chvatliny,B,4988,2,4988_2
8881,"Dolní Chvatliny,Mančice",A,4989,1,4989_1
8882,"Dolní Chvatliny,Mančice",B,4989,2,4989_2
8883,"Polní Voděrady,ObÚ",A,4990,1,4990_1
8884,"Polní Voděrady,ObÚ",B,4990,2,4990_2
8885,Polní Voděrady,A,4991,1,4991_1
8886,Polní Voděrady,B,4991,2,4991_2
8887,Lošany,A,4992,1,4992_1
8888,Lošany,B,4992,2,4992_2
8889,Radovesnice I,A,4993,1,4993_1
8890,Radovesnice I,B,4993,2,4993_2
8891,"Kolín,Štítary",A,4994,1,4994_1
8892,"Kolín,Štítary",B,4994,2,4994_2
8893,"Kolín,Výfuk",A,4995,1,4995_1
8894,"Kolín,Výfuk",B,4995,2,4995_2
8895,"Kolín,Gymnázium",A,4996,1,4996_1
8896,"Kolín,Gymnázium",B,4996,2,4996_2
8897,"Kolín,Bezovka",A,4997,1,4997_1
8898,"Kolín,Bezovka",B,4997,2,4997_2
